386538,温柔-五月天
1336856865,想要把全宇宙最特别的爱都给你-高姗
1350584035,我想把所有给你-逆时针向
1335968312,20岁30岁40岁-曾婕Joey.Z
374597,你被写在我的歌里-苏打绿
209326,旅行的意义-陈绮贞
1412022850,如果云知道-黄轩
1311347333,单车-尚先生
33206214,小幸运-田馥甄
1297743194,我在呢-Tank
1399533630,与火星的孩子对话-华晨宇
25706282,夜空中最亮的星-逃跑计划
545589224,一千零一夜-安子与九妹
1339836579,永不放弃-CADY
1400063350,后劲-吴克群
1408930302,梦游歌-散养溜达猴
481853233,逆光飞翔-许鹤缤
1422097099,银河路没有银河-跳大海
1380037287,有梦的人别怕-陆思恒
1390277180,无名的小花-叶青赛蓝
22818131,ろっかばいまいべいびい-Tin Pan Alley
26119851,都会-大貫妙子
26127770,Plastic Love (New-Remix)-竹内まりや
22824938,Communication-八神纯子
22671888,HEARTでふりむいて-和田加奈子
34964562,キャシィ-当山ひとみ
566969,PRIDE-今井美樹
673182,セーラー服と机関铳-薬師丸ひろ子
22766095,染めかえて-田中好子
22711226,スピーチ・バルーン-大瀧詠一
1523216,Playwright's Lament-John Debney
1523466,General Map 3-John Debney
1523248,Arise, Watcher-John Debney
1523445,General CAS 3-John Debney
28212077,Misty Mountains (A Cappella)-Peter Hollens
1062559,Trine 2 Main Theme-Ari Pulkkinen
19089329,When Mountains Fall-Stratovarius
31961122,The Trees They Do Grow High-Joan Baez
2775474,Geordie-Joan Baez
28687734,Here's a Health to the Company-Sean Dagher
512099480,A Place of Tears-The Land Below
1311864709,Choosing Sides-Benjamin Lazar Davis
571545362,Come Follow Me Down-George Taylor
1304867327,Persephone-Tamino
26679470,Flightless Bird, American Mouth-Iron & Wine
406037232,Lullaby Love-Roo Panes
27937279,I See Fire-Ed Sheeran
29427498,I Don't Want To Change You-Damien Rice
1409093519,Falling-Harry Styles
36307285,Love Is A Losing Game-Sam Smith
1377807992,雨 因你而下，于你而止-Seto
1330970507,My 22-逆时针向
1379048619,Blue whale (蓝鲸)-凯瑟喵
480341703,船票-MyT1aN
1320336229,只为你着迷-李秉成
436346833,凄美地 -郭顶
1338247430,快點睡覺(prod.by Sliker)-670
573982257,大城小爱-王力宏
1308818695,岛-汪苏泷
1424041593,处处零（Cover：杨千嬅）-少恭
513661525,一个深爱的人-邱有句
541249555,桜流し-nevva
1336866514,月の-bbynascar
1384311632,AME TO SAKURA-Seto
1383715787,这一秒只想在爱里沉溺（治愈《恋愛の資格》日语念白-溯 (Reverse).feat（Cover：小西克幸）-邓壬鑫
1383011259,一起看海的人比海更温柔 (Piano Version)-林鹿言
557579751,sleepy story.-barnes blvd.
1361367644,温柔似水-何石
1409250084,A Tale of Moon（动物狂想曲/BEASTARS 插曲）（Cover：Chica）-Kyle Xian
492390949,星茶会-灰澈
1383691441,tired-vietra
16959121,Insomnia-Craig David
1380834060,Last Call-Adib Sin
1378371937,I Won't Lie-Krimsonn
1381290206,Pull Up-Luh Kel
1378191814,skeletons-keshi
1378371552,Why Do You Love Me-Charlotte Lawrence
1401727432,chanel-neeks
1403699842,Love Songs-kaash paige
1377466954,Cooler Than Me-Lucky Luke
527354000,春风再美也比不上你的笑，没见过你的人自然不会明了。（Demo）-十指流玉
1322718363,入秋·虫鸣之夜-追忆旋转木马
410161058,谷雨 伴奏-桑葚上的猴子
506650377,忆夏思乡-MoreanP
412493718,墨雨 -吴苏芯
1390745148,我们将错过彼此的全部余生-十指流玉
535517304,为霜-羽肿
416385140,小周 - 风之颂-夏小舟
526687803,梦回长安-蓝云木
1385897410,Late summer-周涵
468176711,城南花已开-三亩地
139774,The truth that you leave-Pianoboy高至豪
3932159,You-Approaching Nirvana
31654455,Victory-Two Steps From Hell
29947420,Fade-Alan Walker
38019092,Lifeline-Zeraphym 六翼使徒
760058,Bloom of Youth-清水準一
5308028,My Soul-July
857896,A Little Story-Valentin
4341314,Intro-The xx
1378055568,I.F.L.Y.-Bazzi
210077,女人们的咖啡-蔡淳佳
484058594,月光浓汤-周柏豪
1378192821,summer-keshi
1383691441,tired-vietra
1381290206,Pull Up-Luh Kel
1378191814,skeletons-keshi
1403699842,Love Songs-kaash paige
1382340352,Señorita-Kurt Hugo Schneider
1407525373,Ex Bitch-XXXTENTACION
31654478,Star Sky-Two Steps From Hell
1342511971,那些失眠的夜与难以忘怀的事-老王乐队
418602088,Nevada (feat. Cozi Zuehlsdorff)-Vicetone
30394202,逆流时光-安图声乐队
571463522,生如逆旅（Cover 米津玄师）-圈9
29803675,Fight Song-Rachel Platten
38592976,Dream It Possible-Delacey
5097737,Wavin' Flag-K'Naan
405485737,Try Everything-Shakira
25706279,一万次悲伤-逃跑计划
1387592826,Addicted-Alex Parker
535048806,Somebody Else's Lover-Juliette Claire
1414940085,Curtain Call-Steam Phunk
1415735685,Stupid Dumb-CMC$
1419690636,Burst-Rich Edwards
1407959857,Le Le Le Go-Lucas Estrada
